,type,target,pred,error
0,0,100,-1000000,1000100
1,0,-200,-1000000,999800
2,0,100,-1000000,1000100
3,0,600,-1000000,1000600
4,0,-150,-1000000,999850
5,1,250,400,-150
6,0,2600,-1000000,1002600
7,1,-150,400,-550
8,1,200,400,-200
9,1,300,400,-100
10,1,-100,400,-500
11,0,450,-1000000,1000450
12,1,800,400,400
13,1,2750,400,2350
14,0,850,-1000000,1000850
15,1,0,400,-400
16,0,700,-1000000,1000700
17,1,150,400,-250
18,0,-50,-1000000,999950
19,1,900,400,500
20,1,-200,400,-600
21,0,0,-1000000,1000000
22,0,50,-1000000,1000050
23,0,700,-1000000,1000700
24,0,100,-1000000,1000100
25,0,1000,-1000000,1001000
26,1,1250,400,850
27,0,-100,-1000000,999900
28,0,-150,-1000000,999850
29,0,0,-1000000,1000000
30,1,350,400,-50
31,0,1300,-1000000,1001300
32,0,100,-1000000,1000100
33,0,-100,-1000000,999900
34,0,650,-1000000,1000650
35,0,150,-1000000,1000150
36,0,-100,-1000000,999900
37,0,0,-1000000,1000000
38,0,100,-1000000,1000100
39,1,1300,400,900
40,1,550,400,150
41,0,600,-1000000,1000600
42,0,1150,-1000000,1001150
43,0,100,-1000000,1000100
44,0,0,-1000000,1000000
45,0,100,-1000000,1000100
46,0,-250,-1000000,999750
47,0,550,-1000000,1000550
48,1,800,400,400
49,1,-400,400,-800
50,1,0,400,-400
51,0,100,-1000000,1000100
52,0,750,-1000000,1000750
53,0,50,-1000000,1000050
54,0,300,-1000000,1000300
55,1,450,400,50
56,0,900,-1000000,1000900
57,1,-450,400,-850
58,0,-50,-1000000,999950
59,0,850,-1000000,1000850
60,1,1250,400,850
61,0,300,-1000000,1000300
62,0,0,-1000000,1000000
63,0,300,-1000000,1000300
64,0,200,-1000000,1000200
65,1,0,400,-400
66,1,250,400,-150
67,0,1900,-1000000,1001900
68,0,600,-1000000,1000600
69,1,300,400,-100
70,0,2250,-1000000,1002250
71,1,500,400,100
72,1,800,400,400
73,0,1400,-1000000,1001400
74,0,450,-1000000,1000450
75,1,2200,400,1800
76,0,2750,-1000000,1002750
77,1,400,400,0
78,0,200,-1000000,1000200
79,1,200,400,-200
80,0,1450,-1000000,1001450
81,0,600,-1000000,1000600
82,0,850,-1000000,1000850
83,0,1050,-1000000,1001050
84,1,1100,400,700
85,1,250,400,-150
86,0,1700,-1000000,1001700
87,0,50,-1000000,1000050
88,1,250,400,-150
89,0,-400,-1000000,999600
90,1,250,400,-150
91,0,600,-1000000,1000600
92,0,2450,-1000000,1002450
93,0,850,-1000000,1000850
94,1,400,400,0
95,1,450,400,50
96,1,-100,400,-500
97,0,700,-1000000,1000700
98,1,0,400,-400
99,0,100,-1000000,1000100
100,0,600,-1000000,1000600
101,0,1400,-1000000,1001400
102,0,2900,-1000000,1002900
103,0,550,-1000000,1000550
104,0,450,-1000000,1000450
105,1,-150,400,-550
106,0,-150,-1000000,999850
107,1,1150,400,750
108,0,400,-1000000,1000400
109,0,150,-1000000,1000150
110,0,1050,-1000000,1001050
111,0,2950,-1000000,1002950
112,1,1200,400,800
113,1,1750,400,1350
114,1,-200,400,-600
115,1,300,400,-100
116,0,150,-1000000,1000150
117,1,200,400,-200
118,0,0,-1000000,1000000
119,1,250,400,-150
120,1,250,400,-150
121,0,600,-1000000,1000600
122,0,100,-1000000,1000100
123,1,450,400,50
124,0,50,-1000000,1000050
125,1,1100,400,700
126,0,700,-1000000,1000700
127,0,0,-1000000,1000000
128,1,1150,400,750
129,1,150,400,-250
130,0,850,-1000000,1000850
131,0,0,-1000000,1000000
132,0,150,-1000000,1000150
133,1,500,400,100
134,1,600,400,200
135,0,200,-1000000,1000200
136,1,200,400,-200
137,1,450,400,50
138,1,450,400,50
139,0,-50,-1000000,999950
140,1,800,400,400
141,0,650,-1000000,1000650
142,0,0,-1000000,1000000
143,1,300,400,-100
144,1,400,400,0
145,0,50,-1000000,1000050
146,1,900,400,500
147,0,600,-1000000,1000600
148,1,500,400,100
149,0,2400,-1000000,1002400
150,0,50,-1000000,1000050
151,1,1550,400,1150
152,0,0,-1000000,1000000
153,1,0,400,-400
154,0,1400,-1000000,1001400
155,0,350,-1000000,1000350
156,0,2950,-1000000,1002950
157,1,-400,400,-800
158,0,0,-1000000,1000000
159,0,-200,-1000000,999800
160,1,1500,400,1100
161,0,2550,-1000000,1002550
162,1,800,400,400
163,1,650,400,250
164,1,1300,400,900
165,1,400,400,0
166,1,-250,400,-650
167,1,-50,400,-450
168,1,1150,400,750
169,0,-300,-1000000,999700
170,1,300,400,-100
171,0,0,-1000000,1000000
172,0,1350,-1000000,1001350
173,1,550,400,150
174,1,0,400,-400
