,type,target,pred,error
0,0,100,-1000000,1000100
1,0,-200,-1000000,999800
2,0,100,-1000000,1000100
3,0,600,-1000000,1000600
4,0,-150,-1000000,999850
5,1,250,350,-100
6,1,2600,350,2250
7,1,-150,350,-500
8,1,200,350,-150
9,1,300,350,-50
10,1,-100,350,-450
11,0,450,-1000000,1000450
12,1,800,350,450
13,1,2750,350,2400
14,0,850,-1000000,1000850
15,1,0,350,-350
16,1,700,350,350
17,1,150,350,-200
18,1,-50,350,-400
19,1,900,350,550
20,1,-200,350,-550
21,0,0,-1000000,1000000
22,1,50,350,-300
23,1,700,350,350
24,0,100,-1000000,1000100
25,1,1000,350,650
26,1,1250,350,900
27,1,-100,350,-450
28,1,-150,350,-500
29,0,0,-1000000,1000000
30,1,350,350,0
31,1,1300,350,950
32,0,100,-1000000,1000100
33,1,-100,350,-450
34,1,650,350,300
35,1,150,350,-200
36,1,-100,350,-450
37,1,0,350,-350
38,1,100,350,-250
39,1,1300,350,950
40,1,550,350,200
41,1,600,350,250
42,1,1150,350,800
43,0,100,-1000000,1000100
44,0,0,-1000000,1000000
45,0,100,-1000000,1000100
46,1,-250,350,-600
47,0,550,-1000000,1000550
48,1,800,350,450
49,1,-400,350,-750
50,1,0,350,-350
51,0,100,-1000000,1000100
52,0,750,-1000000,1000750
53,1,50,350,-300
54,0,300,-1000000,1000300
55,1,450,350,100
56,1,900,350,550
57,1,-450,350,-800
58,0,-50,-1000000,999950
59,1,850,350,500
60,1,1250,350,900
61,0,300,-1000000,1000300
62,1,0,350,-350
63,1,300,350,-50
64,1,200,350,-150
65,1,0,350,-350
66,1,250,350,-100
67,0,1900,-1000000,1001900
68,1,600,350,250
69,1,300,350,-50
70,0,2250,-1000000,1002250
71,1,500,350,150
72,1,800,350,450
73,1,1400,350,1050
74,1,450,350,100
75,1,2200,350,1850
76,0,2750,-1000000,1002750
77,1,400,350,50
78,1,200,350,-150
79,1,200,350,-150
80,0,1450,-1000000,1001450
81,1,600,350,250
82,1,850,350,500
83,0,1050,-1000000,1001050
84,0,1100,-1000000,1001100
85,1,250,350,-100
86,0,1700,-1000000,1001700
87,1,50,350,-300
88,1,250,350,-100
89,0,-400,-1000000,999600
90,1,250,350,-100
91,0,600,-1000000,1000600
92,1,2450,350,2100
93,0,850,-1000000,1000850
94,1,400,350,50
95,1,450,350,100
96,1,-100,350,-450
97,0,700,-1000000,1000700
98,0,0,-1000000,1000000
99,1,100,350,-250
100,0,600,-1000000,1000600
101,1,1400,350,1050
102,0,2900,-1000000,1002900
103,0,550,-1000000,1000550
104,0,450,-1000000,1000450
105,1,-150,350,-500
106,1,-150,350,-500
107,1,1150,350,800
108,1,400,350,50
109,0,150,-1000000,1000150
110,0,1050,-1000000,1001050
111,0,2950,-1000000,1002950
112,1,1200,350,850
113,1,1750,350,1400
114,1,-200,350,-550
115,1,300,350,-50
116,0,150,-1000000,1000150
117,1,200,350,-150
118,1,0,350,-350
119,1,250,350,-100
120,1,250,350,-100
121,1,600,350,250
122,1,100,350,-250
123,1,450,350,100
124,0,50,-1000000,1000050
125,1,1100,350,750
126,0,700,-1000000,1000700
127,1,0,350,-350
128,1,1150,350,800
129,1,150,350,-200
130,0,850,-1000000,1000850
131,0,0,-1000000,1000000
132,1,150,350,-200
133,1,500,350,150
134,1,600,350,250
135,0,200,-1000000,1000200
136,1,200,350,-150
137,1,450,350,100
138,1,450,350,100
139,1,-50,350,-400
140,1,800,350,450
141,1,650,350,300
142,1,0,350,-350
143,1,300,350,-50
144,1,400,350,50
145,0,50,-1000000,1000050
146,1,900,350,550
147,1,600,350,250
148,1,500,350,150
149,0,2400,-1000000,1002400
150,1,50,350,-300
151,1,1550,350,1200
152,1,0,350,-350
153,1,0,350,-350
154,1,1400,350,1050
155,0,350,-1000000,1000350
156,0,2950,-1000000,1002950
157,1,-400,350,-750
158,0,0,-1000000,1000000
159,0,-200,-1000000,999800
160,1,1500,350,1150
161,0,2550,-1000000,1002550
162,1,800,350,450
163,1,650,350,300
164,1,1300,350,950
165,1,400,350,50
166,0,-250,-1000000,999750
167,1,-50,350,-400
168,1,1150,350,800
169,0,-300,-1000000,999700
170,1,300,350,-50
171,0,0,-1000000,1000000
172,0,1350,-1000000,1001350
173,1,550,350,200
174,1,0,350,-350
